model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,feature_set,C,half_life_years
compact__c0.1__hl12.0,2018,0.9334685122078525,0.5534959533415927,0.18495486264096855,0.5511302475780409,0.014596716739616362,0.5610535747915287,929,compact,0.1,12.0
compact__c0.3__hl4.0,2018,0.930471032643516,0.5515529232613362,0.1842221405985538,0.5608180839612487,0.014316228706501146,0.5574214708672315,929,compact,0.3,4.0
compact__c0.3__hl8.0,2018,0.931194786348955,0.5519006613618024,0.1843216509789422,0.5565123789020452,0.022315858296578357,0.5603272442338548,929,compact,0.3,8.0
compact__c0.3__hl12.0,2018,0.9317426824667248,0.5521887021893938,0.1844050636192971,0.5532831001076426,0.018834717828358525,0.5611181605345135,929,compact,0.3,12.0
compact__c1.0__hl4.0,2018,0.9294650101861105,0.5508060119294697,0.18390309534903723,0.5618945102260495,0.018232263662424045,0.5574877660120755,929,compact,1.0,4.0
compact__c1.0__hl8.0,2018,0.9299832530990259,0.5509767380055081,0.1839497531721848,0.5608180839612487,0.013820565049768726,0.5605569388392824,929,compact,1.0,8.0
compact__c1.0__hl12.0,2018,0.9308660747888473,0.5515125398857676,0.1841094111897804,0.5608180839612487,0.015001900200920919,0.5615084594124593,929,compact,1.0,12.0
class_prior,2021,1.04502334546284,0.6295193872647714,0.22747390300668135,0.48699551569506727,0.0013865763068283687,0.4856089393882389,1115,baseline,,
elo_logistic,2021,0.8110173311894019,0.4729951025845761,0.15226266219457021,0.6439461883408072,0.033767592487295155,0.6185329256337042,1115,baseline,,
base__c0.03__hl4.0,2021,0.807265814662923,0.47018799913537757,0.15081954842002637,0.6493273542600897,0.028999085369706707,0.6234089937954134,1115,base,0.03,4.0
base__c0.03__hl8.0,2021,0.8056745478321893,0.4693483975012979,0.15066220063851343,0.6502242152466368,0.028411636733133704,0.624776825579233,1115,base,0.03,8.0
base__c0.03__hl12.0,2021,0.8052814214546888,0.46915969935228435,0.15065428271843662,0.6475336322869956,0.025147111225553836,0.625895047113362,1115,base,0.03,12.0
base__c0.1__hl4.0,2021,0.8066680661538953,0.46982647792524934,0.15069212127635306,0.6502242152466368,0.028709082014438437,0.6239212556157816,1115,base,0.1,4.0
base__c0.1__hl8.0,2021,0.8048700272304279,0.46887079593952996,0.15048906126589262,0.6502242152466368,0.027360280412756642,0.6253562053482097,1115,base,0.1,8.0
base__c0.1__hl12.0,2021,0.8044554318335,0.46866774303712444,0.15046505224893428,0.6475336322869956,0.025877614010609097,0.6265343365526906,1115,base,0.1,12.0
base__c0.3__hl4.0,2021,0.806480302044412,0.4696878495454985,0.1506562149186297,0.6484304932735426,0.026755009499847805,0.6242308977843829,1115,base,0.3,4.0
base__c0.3__hl8.0,2021,0.8043129931139418,0.4685266419683211,0.15037214263877244,0.6520179372197309,0.027588148290983917,0.625935063458365,1115,base,0.3,8.0
base__c0.3__hl12.0,2021,0.8039010470243272,0.4683128157831619,0.15033766947761484,0.6484304932735426,0.02280573554729892,0.6271995195255919,1115,base,0.3,12.0
base__c1.0__hl4.0,2021,0.8064496167967543,0.46971094224025295,0.1507069538904257,0.6493273542600897,0.03426540798110481,0.6244617274930836,1115,base,1.0,4.0
base__c1.0__hl8.0,2021,0.8040490525777949,0.46845209830191537,0.15035866773138223,0.6511210762331838,0.0311408125778263,0.6265009091033249,1115,base,1.0,8.0
base__c1.0__hl12.0,2021,0.8034007180133612,0.46806925872279903,0.15026704900464186,0.6520179372197309,0.027001415579857573,0.627712145432444,1115,base,1.0,12.0
advanced__c0.03__hl4.0,2021,0.8017713356065397,0.4681015646296395,0.1504803956855677,0.6322869955156951,0.039256318533836654,0.6247989370281083,1115,advanced,0.03,4.0
advanced__c0.03__hl8.0,2021,0.7994138263335684,0.4664826086392858,0.14988437655472653,0.6448430493273543,0.03076160819462386,0.6256474766514126,1115,advanced,0.03,8.0
advanced__c0.03__hl12.0,2021,0.7990386961771672,0.46617879288241315,0.14977944086619635,0.6466367713004484,0.029475472476095967,0.6263346586314589,1115,advanced,0.03,12.0
advanced__c0.1__hl4.0,2021,0.8015979874857273,0.4677511623389373,0.15031220646830526,0.6340807174887892,0.040318031835780525,0.6260729060749539,1115,advanced,0.1,4.0
advanced__c0.1__hl8.0,2021,0.7989909847662753,0.46604504069796326,0.14969701590669393,0.6457399103139013,0.03472344947409558,0.6268635681949474,1115,advanced,0.1,8.0
advanced__c0.1__hl12.0,2021,0.7984435104575022,0.465658127998358,0.14957389390739895,0.6475336322869956,0.032066715286042824,0.6275241629278476,1115,advanced,0.1,12.0
advanced__c0.3__hl4.0,2021,0.8019029251858555,0.46771969155198145,0.1502688664021291,0.6340807174887892,0.04128485621669037,0.6268298559800947,1115,advanced,0.3,4.0
advanced__c0.3__hl8.0,2021,0.798845304882216,0.46576870955614763,0.14958158087538137,0.6457399103139013,0.03154482197567415,0.6277901526227693,1115,advanced,0.3,8.0
advanced__c0.3__hl12.0,2021,0.7982940934306023,0.4653896774765443,0.14945958312787536,0.6466367713004484,0.028659652670798036,0.6283719719875323,1115,advanced,0.3,12.0
advanced__c1.0__hl4.0,2021,0.8022281058029257,0.4678062948564912,0.15029952424579568,0.6358744394618834,0.041779530410221255,0.6276090855542514,1115,advanced,1.0,4.0
advanced__c1.0__hl8.0,2021,0.7990428202648382,0.46580045846634777,0.14956790947853488,0.6466367713004484,0.03293851893530235,0.6285538306849574,1115,advanced,1.0,8.0
