model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,draw_C,decisive_C,half_life_years
structured__draw0.1__decisive0.3__hlnone,2023,0.8515158281060933,0.4975470596650315,0.16894384120316155,0.618595825426945,0.028182296623018147,0.6264210029397588,1054,0.1,0.3,
structured__draw0.1__decisive1.0__hl8.0,2023,0.852097959462464,0.4984420371128954,0.16923747090442695,0.6242884250474383,0.018452633100155352,0.6251175955628027,1054,0.1,1.0,8.0
structured__draw0.1__decisive1.0__hl12.0,2023,0.8518234082730709,0.4980883366881949,0.169126425588185,0.6214421252371917,0.022596200768116362,0.6253900766420081,1054,0.1,1.0,12.0
structured__draw0.1__decisive1.0__hl20.0,2023,0.8514830055509661,0.4976413760353456,0.16894058616664098,0.6195445920303605,0.019248248059880475,0.6255295717928894,1054,0.1,1.0,20.0
structured__draw0.1__decisive1.0__hlnone,2023,0.8516273288616187,0.49742137927298646,0.16888100100713907,0.6195445920303605,0.020757296528559673,0.6266866158948563,1054,0.1,1.0,
structured__draw0.3__decisive0.3__hl8.0,2023,0.8522789625506777,0.49882016233765347,0.1694204560962473,0.6252371916508539,0.021351729241825858,0.6253864133017158,1054,0.3,0.3,8.0
structured__draw0.3__decisive0.3__hl12.0,2023,0.8518309733847491,0.4983086103769515,0.16919699274559358,0.6233396584440227,0.01759265755527877,0.625403650455058,1054,0.3,0.3,12.0
structured__draw0.3__decisive0.3__hl20.0,2023,0.851357476414938,0.4978009130189557,0.1690414668133028,0.6223908918406073,0.01718354061150954,0.6255611557350038,1054,0.3,0.3,20.0
structured__draw0.3__decisive0.3__hlnone,2023,0.8513585039273783,0.49751466931833666,0.16895161612916662,0.6195445920303605,0.026867453131415933,0.6264920163453361,1054,0.3,0.3,
structured__draw0.3__decisive1.0__hl8.0,2023,0.8520396660791484,0.4984999060010975,0.16926032792796938,0.6252371916508539,0.019509210469194425,0.6253438376233935,1054,0.3,1.0,8.0
structured__draw0.3__decisive1.0__hl12.0,2023,0.8519609818075243,0.49825587619369066,0.16917062565396315,0.6223908918406073,0.025098680383199474,0.6255746167209385,1054,0.3,1.0,12.0
structured__draw0.3__decisive1.0__hl20.0,2023,0.8513205878331684,0.49760436198434654,0.16894319129599825,0.6204933586337761,0.022050242225701733,0.6256319497481091,1054,0.3,1.0,20.0
structured__draw0.3__decisive1.0__hlnone,2023,0.8514700046829039,0.49739222037362674,0.16889039165681166,0.6195445920303605,0.021615981807275104,0.6267644978534235,1054,0.3,1.0,
structured__draw0.03__decisive0.3__hl8.0,2024,0.8993733365701801,0.5305239443909138,0.17450550025368647,0.5939788445890968,0.04313653511151652,0.6146592223800541,1229,0.03,0.3,8.0
structured__draw0.03__decisive0.3__hl12.0,2024,0.8993984631328255,0.5305941789404328,0.17444585194829001,0.5923515052888527,0.042781347480382585,0.6156106541439033,1229,0.03,0.3,12.0
structured__draw0.03__decisive0.3__hl20.0,2024,0.8996461409469261,0.5308055235138487,0.17444187991961171,0.5947925142392189,0.043976113158472205,0.6165129463889791,1229,0.03,0.3,20.0
structured__draw0.03__decisive0.3__hlnone,2024,0.9007507179752344,0.5314914289217209,0.17456908175287167,0.5939788445890968,0.040380775843448936,0.6183932552623977,1229,0.03,0.3,
structured__draw0.03__decisive1.0__hl8.0,2024,0.8986248541361794,0.5300439788067708,0.17426551746161495,0.5923515052888527,0.03793098045964872,0.6155863176999723,1229,0.03,1.0,8.0
structured__draw0.03__decisive1.0__hl12.0,2024,0.8986148742499556,0.5300730647437576,0.17418529484995246,0.5931651749389748,0.03996726561888606,0.6164362463067784,1229,0.03,1.0,12.0
structured__draw0.03__decisive1.0__hl20.0,2024,0.8990711630731553,0.5303756370048327,0.17422693666510372,0.5939788445890968,0.04140892165380567,0.6174470075676884,1229,0.03,1.0,20.0
structured__draw0.03__decisive1.0__hlnone,2024,0.8996065135821811,0.5307923729137141,0.17421955374886827,0.5947925142392189,0.036150032183835855,0.619555685092251,1229,0.03,1.0,
structured__draw0.1__decisive0.3__hl8.0,2024,0.8993352006192761,0.5305429693579914,0.174518900250546,0.5923515052888527,0.03931849624366654,0.6150222582921371,1229,0.1,0.3,8.0
structured__draw0.1__decisive0.3__hl12.0,2024,0.8993376185175042,0.5306024499814799,0.17445764230804078,0.5915378356387306,0.039067516763536474,0.6161144953097205,1229,0.1,0.3,12.0
structured__draw0.1__decisive0.3__hl20.0,2024,0.899509425592952,0.530754725856466,0.1744392177404202,0.5931651749389748,0.04198497872718618,0.6170506822968974,1229,0.1,0.3,20.0
