model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,feature_set,C,half_life_years
compact_v2__c0.3__hl20.0,2021,0.797163167316281,0.4644442882281187,0.14911058964729595,0.6439461883408072,0.03212106329450606,0.6333844849953804,1115,compact_v2,0.3,20.0
compact_v2__c0.3__hlNone,2021,0.7967438833386017,0.4641878201075062,0.1489765132128755,0.6439461883408072,0.02664133924096205,0.636641943129165,1115,compact_v2,0.3,
compact_v2__c1.0__hl8.0,2021,0.7984271662524358,0.46508355001551477,0.14943086170966374,0.6439461883408072,0.025831356199519304,0.6309088594255713,1115,compact_v2,1.0,8.0
compact_v2__c1.0__hl12.0,2021,0.797510917392741,0.4645482824737332,0.14920252618869306,0.6466367713004484,0.029440209808618164,0.6322632256818093,1115,compact_v2,1.0,12.0
compact_v2__c1.0__hl20.0,2021,0.7969198482204651,0.46421641898819777,0.14905214191138247,0.6484304932735426,0.028408381586197386,0.6337042030374191,1115,compact_v2,1.0,20.0
compact_v2__c1.0__hlNone,2021,0.7961283844685818,0.463787260936556,0.1488639671832786,0.6466367713004484,0.02476087153423996,0.6367805152476351,1115,compact_v2,1.0,
compact_v2__c3.0__hl8.0,2021,0.79849587550816,0.4650576503819279,0.1494200986897461,0.6448430493273543,0.025630485351480964,0.6314503252613826,1115,compact_v2,3.0,8.0
compact_v2__c3.0__hl12.0,2021,0.7974856558144914,0.4645141264228733,0.1491938422747357,0.6475336322869956,0.0306270470103538,0.632387993511881,1115,compact_v2,3.0,12.0
compact_v2__c3.0__hl20.0,2021,0.7967829600664745,0.4641108881825417,0.14901633874767534,0.6484304932735426,0.029015337636359353,0.633834536983066,1115,compact_v2,3.0,20.0
compact_v2__c3.0__hlNone,2021,0.7964411644441496,0.46390817137448803,0.1488799101998412,0.6466367713004484,0.027757914305674362,0.6372376458521407,1115,compact_v2,3.0,
compact_fifa__c0.1__hl8.0,2021,0.7916955338620134,0.4617041912030969,0.14749058679246532,0.6493273542600897,0.0391840876247069,0.6195558411247869,1115,compact_fifa,0.1,8.0
compact_fifa__c0.1__hl12.0,2021,0.7902841009321994,0.4609650010866164,0.14724104792508236,0.6484304932735426,0.04705844107326765,0.6197556791032035,1115,compact_fifa,0.1,12.0
compact_fifa__c0.1__hl20.0,2021,0.7892224519645707,0.4604143669979915,0.14707357267867732,0.6493273542600897,0.04368108100944088,0.6209547194017637,1115,compact_fifa,0.1,20.0
compact_fifa__c0.1__hlNone,2021,0.7887929932430718,0.46042167043928656,0.14715016584854834,0.6511210762331838,0.03788338839744683,0.6215546472352399,1115,compact_fifa,0.1,
compact_fifa__c0.3__hl8.0,2021,0.7917106745835698,0.4616294121798277,0.14747941680394172,0.6493273542600897,0.0391766487230598,0.619992222583294,1115,compact_fifa,0.3,8.0
compact_fifa__c0.3__hl12.0,2021,0.7902245752798231,0.4608409353360489,0.14722124340063295,0.6529147982062781,0.040600574407456305,0.6202255219597765,1115,compact_fifa,0.3,12.0
compact_fifa__c0.3__hl20.0,2021,0.7892125832642806,0.460316587964941,0.14705454453062627,0.6520179372197309,0.044277539404218594,0.6210108747290456,1115,compact_fifa,0.3,20.0
compact_fifa__c0.3__hlNone,2021,0.7889267507403399,0.4603863154837785,0.14715887007760525,0.6520179372197309,0.03772859380686728,0.622341557761297,1115,compact_fifa,0.3,
compact_fifa__c1.0__hl8.0,2021,0.791833754754222,0.46163635711483314,0.14751189898666514,0.6493273542600897,0.036274643201381095,0.6200768073772043,1115,compact_fifa,1.0,8.0
compact_fifa__c1.0__hl12.0,2021,0.7905246616357352,0.4609206043098734,0.1472553210033857,0.6520179372197309,0.0411938962567985,0.6201645612172151,1115,compact_fifa,1.0,12.0
compact_fifa__c1.0__hl20.0,2021,0.7895222600564586,0.46037855791248145,0.14710574085777534,0.6511210762331838,0.043339097631267566,0.6213015860803377,1115,compact_fifa,1.0,20.0
compact_fifa__c1.0__hlNone,2021,0.7890392112587977,0.4602976358402448,0.1471530635767264,0.6511210762331838,0.03635500632972836,0.6222484829683582,1115,compact_fifa,1.0,
compact_fifa__c3.0__hl8.0,2021,0.7922956338345577,0.4618484551437797,0.14755681159180703,0.6475336322869956,0.0428280778495215,0.6203529923963741,1115,compact_fifa,3.0,8.0
compact_fifa__c3.0__hl12.0,2021,0.7906161777620058,0.4609623985880309,0.14727931659127189,0.6502242152466368,0.04321077004142523,0.620678128146581,1115,compact_fifa,3.0,12.0
compact_fifa__c3.0__hl20.0,2021,0.7897375259428662,0.46043002401231775,0.1471414750432127,0.6529147982062781,0.038768578514887034,0.6219201483202763,1115,compact_fifa,3.0,20.0
compact_fifa__c3.0__hlNone,2021,0.7892501023951627,0.4604052924760194,0.14719513363236345,0.6484304932735426,0.03573680330006202,0.6231125862969007,1115,compact_fifa,3.0,
class_prior,2022,1.0391596184952725,0.6250986701080103,0.22482261635339137,0.4979381443298969,0.012273379398864803,0.4856647649310321,970,baseline,,
